order_date,channel,sessions,orders,new_customer_orders,returning_customer_orders,gross_revenue,amount_refunded,units_sold,units_returned,cogs,ad_spend
2025-04-09,Direct,152,5,1,4,380.08,0.0,9,0,135.51,0
2025-04-09,Email,138,5,0,5,363.01,0.0,8,0,137.7,0
2025-04-09,Referral,90,2,0,2,138.01,0.0,3,0,51.83,0
2025-04-09,Bol.com,0,2,0,2,165.52,0.0,3,0,59.11,0
2025-04-10,Google Ads,407,10,5,5,829.96,0.0,16,0,295.25,385.55
2025-04-10,Meta Ads,191,3,1,2,223.44,0.0,5,0,84.45,165.43
2025-04-10,Organic Search,374,8,2,6,664.81,0.0,15,0,257.88,0
2025-04-10,Direct,183,6,1,5,453.46,0.0,10,0,173.19,0
2025-04-10,Email,129,6,0,6,504.92,0.0,11,0,195.52,0
2025-04-10,Referral,81,2,1,1,155.38,0.0,3,0,59.51,0
2025-04-10,Bol.com,0,2,0,2,170.29,0.0,3,0,62.24,0
2025-04-11,Google Ads,377,9,5,4,675.1,0.0,17,0,237.55,403.97
2025-04-11,Meta Ads,157,3,1,2,248.5,0.0,5,0,94.64,169.26
2025-04-11,Organic Search,340,7,2,5,556.69,0.0,12,0,211.04,0
2025-04-11,Direct,167,6,1,5,440.08,0.0,9,0,163.41,0
2025-04-11,Email,155,6,0,6,466.23,0.0,11,0,168.76,0
2025-04-11,Referral,79,2,0,2,144.0,0.0,3,0,55.81,0
2025-04-11,Bol.com,0,2,0,2,142.01,0.0,3,0,52.93,0
2025-04-12,Google Ads,271,6,3,3,465.5,0.0,11,0,174.46,234.25
2025-04-12,Meta Ads,115,2,1,1,174.49,0.0,3,0,66.44,126.05
2025-04-12,Organic Search,263,5,1,4,423.71,0.0,9,0,158.49,0
2025-04-12,Direct,133,5,1,4,362.95,0.0,9,0,128.58,0
2025-04-12,Email,92,4,0,4,296.37,0.0,6,0,109.15,0
2025-04-12,Referral,65,2,1,1,160.68,0.0,3,0,59.72,0
2025-04-12,Bol.com,0,1,0,1,84.11,0.0,1,0,31.9,0
2025-04-13,Google Ads,262,7,3,4,604.01,0.0,12,0,213.2,252.98
2025-04-13,Meta Ads,118,2,1,1,173.29,0.0,3,0,67.32,137.73
2025-04-13,Organic Search,242,4,1,3,309.79,0.0,7,0,115.6,0
2025-04-13,Direct,127,4,0,4,300.62,0.0,6,0,109.34,0
2025-04-13,Email,107,4,0,4,335.48,0.0,7,0,121.93,0
2025-04-13,Referral,68,1,0,1,87.14,0.0,1,0,31.23,0
2025-04-13,Bol.com,0,1,0,1,80.35,0.0,1,0,31.0,0
2025-04-14,Google Ads,402,12,6,6,877.44,0.0,20,0,311.45,442.11
2025-04-14,Meta Ads,208,4,2,2,336.87,0.0,7,0,121.82,219.68
2025-04-14,Organic Search,440,8,3,5,606.57,0.0,15,0,232.6,0
2025-04-14,Direct,179,6,1,5,516.77,0.0,10,0,187.35,0
2025-04-14,Email,161,8,1,7,571.37,0.0,14,0,212.33,0
2025-04-14,Referral,93,2,0,2,163.39,0.0,3,0,57.7,0
2025-04-14,Bol.com,0,2,0,2,167.66,0.0,3,0,65.02,0
2025-04-15,Google Ads,377,10,5,5,850.05,0.0,17,0,321.51,329.68
2025-04-15,Meta Ads,167,2,1,1,173.57,0.0,3,0,66.48,187.95
2025-04-15,Organic Search,366,7,2,5,574.66,0.0,13,0,203.45,0
2025-04-15,Direct,166,6,1,5,495.72,0.0,10,0,190.25,0
2025-04-15,Email,132,6,0,6,417.01,0.0,11,0,148.83,0
2025-04-15,Referral,81,2,1,1,143.64,0.0,3,0,51.77,0
2025-04-15,Bol.com,0,2,0,2,154.55,0.0,3,0,58.93,0
2025-04-16,Google Ads,369,9,4,5,716.75,0.0,16,0,274.35,333.86
2025-04-16,Meta Ads,167,3,1,2,238.04,0.0,5,0,92.28,192.09
2025-04-16,Organic Search,340,7,2,5,578.06,0.0,11,0,222.53,0
2025-04-16,Direct,163,6,1,5,451.41,0.0,11,0,170.71,0
2025-04-16,Email,149,7,1,6,598.86,0.0,12,0,223.34,0
2025-04-16,Referral,91,2,0,2,165.27,0.0,3,0,64.03,0
2025-04-16,Bol.com,0,2,0,2,168.37,0.0,3,0,64.21,0
2025-04-17,Google Ads,353,10,5,5,867.33,0.0,19,0,335.91,373.53
2025-04-17,Meta Ads,161,3,1,2,236.05,0.0,5,0,88.08,192.87
2025-04-17,Organic Search,384,7,2,5,483.76,0.0,13,0,174.0,0
2025-04-17,Direct,149,5,1,4,371.49,0.0,8,0,134.76,0
2025-04-17,Email,138,5,0,5,355.9,0.0,8,0,137.56,0
2025-04-17,Referral,81,2,0,2,152.81,0.0,3,0,59.09,0
2025-04-17,Bol.com,0,1,0,1,76.94,0.0,1,0,29.0,0
2025-04-18,Google Ads,401,10,5,5,709.27,0.0,19,0,266.15,379.59
2025-04-18,Meta Ads,157,3,1,2,212.99,0.0,5,0,76.5,177.76
2025-04-18,Organic Search,403,8,3,5,683.98,0.0,12,0,243.71,0
2025-04-18,Direct,167,5,1,4,345.61,0.0,8,0,125.62,0
2025-04-18,Email,136,5,0,5,392.44,0.0,9,0,145.4,0
2025-04-18,Referral,80,2,1,1,138.9,0.0,3,0,51.18,0
2025-04-18,Bol.com,0,2,0,2,155.21,0.0,3,0,59.78,0
2025-04-19,Google Ads,288,6,3,3,482.95,0.0,10,0,179.24,248.05
2025-04-19,Meta Ads,123,2,1,1,169.21,0.0,3,0,60.82,127.5
2025-04-19,Organic Search,234,4,1,3,305.71,0.0,6,0,111.69,0
2025-04-19,Direct,110,4,0,4,336.84,0.0,6,0,128.52,0
2025-04-19,Email,101,4,0,4,299.24,0.0,6,0,113.49,0
2025-04-19,Referral,65,2,1,1,159.76,0.0,3,0,60.04,0
2025-04-19,Bol.com,0,1,0,1,84.47,0.0,1,0,32.21,0
2025-04-20,Google Ads,340,9,5,4,622.18,0.0,17,0,222.85,296.44
2025-04-20,Meta Ads,129,2,1,1,169.85,0.0,3,0,63.68,129.01
2025-04-20,Organic Search,299,6,2,4,450.13,0.0,10,0,167.67,0
2025-04-20,Direct,122,3,0,3,240.62,0.0,5,0,88.9,0
2025-04-20,Email,111,4,0,4,283.08,0.0,7,0,104.6,0
2025-04-20,Referral,70,1,0,1,79.86,0.0,1,0,28.48,0
2025-04-20,Bol.com,0,1,0,1,68.78,0.0,1,0,25.97,0
2025-04-21,Google Ads,483,11,6,5,763.75,0.0,17,0,284.73,409.1
2025-04-21,Meta Ads,202,3,1,2,207.09,0.0,5,0,79.17,227.58
2025-04-21,Organic Search,362,8,3,5,637.31,0.0,14,0,232.02,0
2025-04-21,Direct,185,5,1,4,353.87,0.0,9,0,133.91,0
2025-04-21,Email,173,8,1,7,571.05,0.0,13,0,214.57,0
2025-04-21,Referral,89,2,0,2,165.53,0.0,3,0,61.64,0
2025-04-21,Bol.com,0,2,0,2,169.64,0.0,3,0,62.4,0
2025-04-22,Google Ads,347,9,4,5,693.9,0.0,14,0,266.09,376.53
2025-04-22,Meta Ads,171,3,1,2,237.05,0.0,5,0,90.43,184.93
2025-04-22,Organic Search,332,7,2,5,488.59,0.0,11,0,184.65,0
2025-04-22,Direct,166,5,1,4,384.17,0.0,8,0,140.34,0
2025-04-22,Email,131,5,0,5,399.16,0.0,9,0,141.7,0
2025-04-22,Referral,86,2,1,1,161.86,0.0,3,0,60.38,0
2025-04-22,Bol.com,0,1,0,1,86.76,0.0,1,0,33.51,0
2025-04-23,Google Ads,420,12,6,6,1009.9,0.0,22,0,379.12,344.34
2025-04-23,Meta Ads,162,3,1,2,217.95,0.0,5,0,77.72,162.1
2025-04-23,Organic Search,379,7,2,5,589.91,0.0,13,0,224.08,0
2025-04-23,Direct,153,5,1,4,421.01,0.0,9,0,154.8,0
2025-04-23,Email,137,6,0,6,461.73,0.0,10,0,171.42,0
2025-04-23,Referral,80,2,0,2,168.55,0.0,3,0,62.12,0
2025-04-23,Bol.com,0,1,0,1,78.51,0.0,1,0,28.0,0
2025-04-24,Google Ads,439,12,6,6,1013.7,0.0,23,0,366.55,395.48
2025-04-24,Meta Ads,158,3,2,1,218.39,0.0,5,0,77.19,185.45
2025-04-24,Organic Search,337,8,3,5,553.34,0.0,15,0,210.7,0
2025-04-24,Direct,157,5,1,4,408.35,0.0,8,0,143.61,0
2025-04-24,Email,129,5,0,5,394.57,0.0,9,0,142.9,0
2025-04-24,Referral,82,2,0,2,167.0,0.0,3,0,62.39,0
2025-04-24,Bol.com,0,1,0,1,73.17,0.0,1,0,26.37,0
2025-04-25,Google Ads,364,11,5,6,863.37,0.0,19,0,315.95,358.88
2025-04-25,Meta Ads,179,4,2,2,275.78,0.0,7,0,103.35,198.01
2025-04-25,Organic Search,381,7,2,5,552.03,0.0,13,0,203.53,0
2025-04-25,Direct,181,6,1,5,418.93,0.0,11,0,147.93,0
2025-04-25,Email,134,5,0,5,391.44,0.0,9,0,148.5,0
2025-04-25,Referral,80,2,1,1,169.7,0.0,3,0,65.23,0
2025-04-25,Bol.com,0,2,0,2,151.76,0.0,3,0,58.53,0
2025-04-26,Google Ads,327,7,3,4,588.24,0.0,12,0,221.15,264.71
2025-04-26,Meta Ads,136,2,1,1,150.44,0.0,3,0,58.44,135.04
2025-04-26,Organic Search,309,7,2,5,564.02,0.0,12,0,218.14,0
2025-04-26,Direct,121,4,1,3,277.17,0.0,6,0,101.35,0
2025-04-26,Email,112,5,0,5,432.01,0.0,8,0,160.31,0
2025-04-26,Referral,64,2,0,2,141.53,0.0,3,0,52.69,0
2025-04-26,Bol.com,0,1,0,1,76.99,0.0,1,0,28.46,0
2025-04-27,Google Ads,309,9,4,5,632.55,0.0,16,0,230.47,250.42
2025-04-27,Meta Ads,135,3,2,1,245.9,0.0,5,0,91.06,130.73
2025-04-27,Organic Search,259,5,2,3,345.66,0.0,9,0,128.55,0
2025-04-27,Direct,137,4,0,4,349.41,0.0,7,0,133.46,0
2025-04-27,Email,100,5,0,5,385.32,0.0,9,0,146.56,0
2025-04-27,Referral,69,1,0,1,76.74,0.0,1,0,27.41,0
2025-04-27,Bol.com,0,1,0,1,81.92,0.0,1,0,31.36,0
2025-04-28,Google Ads,449,10,5,5,786.27,0.0,18,0,280.86,411.84
2025-04-28,Meta Ads,200,4,2,2,316.76,0.0,7,0,118.86,207.79
2025-04-28,Organic Search,411,9,3,6,725.42,0.0,16,0,280.66,0
2025-04-28,Direct,189,7,1,6,519.46,0.0,11,0,191.9,0
2025-04-28,Email,147,6,0,6,492.53,0.0,11,0,175.51,0
2025-04-28,Referral,92,2,0,2,154.74,0.0,3,0,56.05,0
2025-04-28,Bol.com,0,2,0,2,146.58,0.0,3,0,54.66,0
2025-04-29,Google Ads,409,11,6,5,818.57,0.0,17,0,317.01,340.86
2025-04-29,Meta Ads,169,2,1,1,170.31,0.0,3,0,65.2,185.05
2025-04-29,Organic Search,399,9,3,6,679.41,0.0,15,0,252.72,0
2025-04-29,Direct,157,5,1,4,369.38,0.0,9,0,143.16,0
2025-04-29,Email,142,6,0,6,517.3,0.0,11,0,191.4,0
2025-04-29,Referral,78,2,0,2,155.02,0.0,3,0,56.37,0
2025-04-29,Bol.com,0,2,0,2,174.37,0.0,3,0,66.63,0
2025-04-30,Google Ads,388,11,5,6,893.79,0.0,21,0,338.15,380.59
2025-04-30,Meta Ads,154,3,2,1,249.89,0.0,5,0,93.23,172.47
2025-04-30,Organic Search,375,8,3,5,571.25,0.0,14,0,203.12,0
2025-04-30,Direct,154,5,1,4,407.83,0.0,8,0,156.52,0
2025-04-30,Email,153,5,0,5,362.61,0.0,8,0,131.67,0
2025-04-30,Referral,80,2,0,2,150.54,0.0,3,0,56.78,0
2025-04-30,Bol.com,0,2,0,2,146.51,0.0,3,0,53.11,0
2025-05-01,Google Ads,407,10,5,5,861.19,0.0,19,0,324.27,336.47
2025-05-01,Meta Ads,185,4,2,2,334.81,0.0,6,0,121.98,175.72
2025-05-01,Organic Search,326,7,2,5,551.06,0.0,13,0,206.25,0
2025-05-01,Direct,169,5,1,4,392.91,0.0,9,0,148.54,0
2025-05-01,Email,125,6,0,6,473.66,0.0,11,0,181.89,0
2025-05-01,Referral,82,2,1,1,149.3,0.0,3,0,55.65,0
2025-05-01,Bol.com,0,2,0,2,172.35,0.0,3,0,61.7,0
2025-05-02,Google Ads,409,11,6,5,953.16,0.0,21,0,355.07,339.55
2025-05-02,Meta Ads,200,3,2,1,236.43,0.0,5,0,87.2,178.58
2025-05-02,Organic Search,340,6,2,4,440.74,0.0,10,0,164.18,0
2025-05-02,Direct,191,6,1,5,512.6,0.0,11,0,192.87,0
2025-05-02,Email,138,5,0,5,366.42,0.0,8,0,141.73,0
2025-05-02,Referral,85,2,0,2,161.75,0.0,3,0,58.69,0
2025-05-02,Bol.com,0,2,0,2,170.79,0.0,3,0,65.82,0
2025-05-03,Google Ads,284,6,3,3,495.83,0.0,11,0,182.92,274.54
2025-05-03,Meta Ads,135,2,1,1,165.54,0.0,3,0,62.5,125.76
2025-05-03,Organic Search,276,5,2,3,390.51,0.0,9,0,144.78,0
2025-05-03,Direct,118,3,0,3,211.03,0.0,5,0,78.18,0
2025-05-03,Email,107,4,0,4,334.98,0.0,7,0,126.99,0
2025-05-03,Referral,66,1,0,1,69.83,0.0,1,0,26.96,0
2025-05-03,Bol.com,0,1,0,1,83.04,0.0,1,0,30.48,0
2025-05-04,Google Ads,321,9,4,5,732.79,0.0,16,0,267.0,243.57
2025-05-04,Meta Ads,127,2,1,1,145.62,0.0,3,0,54.81,137.19
2025-05-04,Organic Search,265,6,2,4,450.72,0.0,10,0,160.31,0
2025-05-04,Direct,136,4,1,3,340.74,0.0,6,0,120.19,0
2025-05-04,Email,108,5,0,5,412.51,0.0,8,0,158.18,0
2025-05-04,Referral,56,1,0,1,83.91,0.0,1,0,31.58,0
2025-05-04,Bol.com,0,1,0,1,71.32,0.0,1,0,25.23,0
2025-05-05,Google Ads,500,14,7,7,1090.85,45.51,27,1,415.15,389.36
2025-05-05,Meta Ads,191,3,1,2,248.29,0.0,5,0,93.77,224.71
2025-05-05,Organic Search,447,10,4,6,790.72,0.0,16,0,296.86,0
2025-05-05,Direct,215,8,1,7,657.63,0.0,13,0,245.83,0
2025-05-05,Email,177,7,1,6,575.39,0.0,12,0,209.34,0
2025-05-05,Referral,108,2,1,1,173.3,0.0,3,0,62.47,0
2025-05-05,Bol.com,0,2,0,2,171.54,0.0,3,0,63.68,0
2025-05-06,Google Ads,392,10,5,5,870.1,0.0,17,0,317.77,342.15
2025-05-06,Meta Ads,170,3,1,2,220.57,0.0,5,0,78.77,172.34
2025-05-06,Organic Search,339,8,3,5,647.15,0.0,14,0,250.62,0
2025-05-06,Direct,173,6,1,5,501.13,0.0,10,0,193.15,0
2025-05-06,Email,141,6,0,6,415.64,0.0,11,0,157.85,0
2025-05-06,Referral,82,2,0,2,163.76,0.0,3,0,61.31,0
2025-05-06,Bol.com,0,2,0,2,155.37,0.0,3,0,54.68,0
2025-05-07,Google Ads,436,10,5,5,812.58,0.0,19,0,288.52,320.52
2025-05-07,Meta Ads,155,3,2,1,220.93,0.0,5,0,82.28,201.19
2025-05-07,Organic Search,326,7,2,5,566.15,0.0,13,0,206.95,0
2025-05-07,Direct,170,5,1,4,359.24,0.0,8,0,133.79,0
2025-05-07,Email,152,6,0,6,416.62,0.0,10,0,153.77,0
2025-05-07,Referral,74,1,0,1,85.48,0.0,1,0,31.04,0
2025-05-07,Bol.com,0,2,0,2,165.44,0.0,3,0,59.15,0
2025-05-08,Google Ads,403,12,6,6,993.42,0.0,20,0,367.59,412.4
2025-05-08,Meta Ads,158,3,2,1,225.05,0.0,5,0,85.55,168.92
2025-05-08,Organic Search,350,8,3,5,602.41,0.0,15,0,226.47,0
2025-05-08,Direct,160,5,1,4,409.95,0.0,8,0,153.71,0
2025-05-08,Email,156,6,0,6,412.42,0.0,10,0,146.99,0
2025-05-08,Referral,82,2,1,1,152.56,0.0,3,0,57.0,0
2025-05-08,Bol.com,0,2,0,2,148.21,0.0,3,0,57.06,0
2025-05-09,Google Ads,372,9,4,5,668.49,0.0,16,0,245.39,359.64
2025-05-09,Meta Ads,155,2,1,1,160.68,0.0,3,0,58.29,205.66
2025-05-09,Organic Search,346,7,2,5,523.66,0.0,12,0,202.94,0
2025-05-09,Direct,158,5,1,4,362.0,0.0,8,0,131.15,0
2025-05-09,Email,151,6,0,6,439.07,0.0,10,0,156.18,0
2025-05-09,Referral,87,2,1,1,162.8,0.0,3,0,61.49,0
2025-05-09,Bol.com,0,2,0,2,163.22,0.0,3,0,60.39,0
2025-05-10,Google Ads,301,8,4,4,560.2,0.0,15,0,207.41,285.9
2025-05-10,Meta Ads,130,2,1,1,150.74,0.0,3,0,53.46,142.18
2025-05-10,Organic Search,269,5,2,3,347.35,0.0,9,0,131.77,0
2025-05-10,Direct,138,4,0,4,293.93,0.0,7,0,109.57,0
2025-05-10,Email,102,4,0,4,318.63,0.0,7,0,113.23,0
2025-05-10,Referral,61,2,0,2,172.5,0.0,3,0,61.95,0
2025-05-10,Bol.com,0,1,0,1,76.84,0.0,1,0,29.31,0
2025-05-11,Google Ads,326,9,4,5,783.53,0.0,15,0,291.64,312.57
2025-05-11,Meta Ads,126,2,1,1,161.26,0.0,3,0,57.86,148.02
2025-05-11,Organic Search,274,6,2,4,496.34,0.0,11,0,190.48,0
2025-05-11,Direct,125,4,0,4,294.21,0.0,7,0,109.91,0
2025-05-11,Email,115,5,0,5,422.34,0.0,9,0,153.1,0
2025-05-11,Referral,69,1,0,1,70.85,0.0,1,0,26.24,0
2025-05-11,Bol.com,0,1,0,1,75.82,0.0,1,0,28.46,0
2025-05-12,Google Ads,443,10,5,5,770.83,0.0,16,0,274.84,426.77
2025-05-12,Meta Ads,211,4,2,2,325.83,0.0,7,0,115.53,181.07
2025-05-12,Organic Search,421,8,3,5,629.63,0.0,13,0,239.16,0
2025-05-12,Direct,192,5,1,4,415.75,0.0,9,0,146.78,0
2025-05-12,Email,167,7,1,6,493.9,0.0,13,0,191.87,0
2025-05-12,Referral,94,2,1,1,153.72,0.0,3,0,58.64,0
2025-05-12,Bol.com,0,2,0,2,163.89,0.0,3,0,58.86,0
2025-05-13,Google Ads,370,9,4,5,672.29,0.0,16,0,257.65,383.2
2025-05-13,Meta Ads,171,3,2,1,250.04,0.0,5,0,89.06,192.02
2025-05-13,Organic Search,322,7,2,5,580.26,0.0,13,0,209.73,0
2025-05-13,Direct,161,5,1,4,425.58,0.0,8,0,164.34,0
2025-05-13,Email,132,6,0,6,412.12,0.0,11,0,151.85,0
2025-05-13,Referral,85,2,0,2,157.29,0.0,3,0,56.85,0
2025-05-13,Bol.com,0,2,0,2,158.92,0.0,3,0,59.87,0
2025-05-14,Google Ads,412,10,5,5,846.95,0.0,17,0,304.04,360.38
2025-05-14,Meta Ads,150,3,1,2,258.3,0.0,5,0,94.35,194.5
2025-05-14,Organic Search,317,6,2,4,490.4,0.0,10,0,172.4,0
2025-05-14,Direct,164,5,1,4,406.85,0.0,8,0,157.88,0
2025-05-14,Email,135,5,0,5,379.06,0.0,9,0,145.6,0
2025-05-14,Referral,75,2,1,1,142.26,0.0,3,0,50.05,0
2025-05-14,Bol.com,0,2,0,2,164.33,0.0,3,0,61.94,0
2025-05-15,Google Ads,348,10,5,5,758.29,0.0,19,0,274.31,310.06
2025-05-15,Meta Ads,167,3,1,2,249.67,0.0,5,0,90.55,177.89
2025-05-15,Organic Search,345,8,3,5,557.29,0.0,15,0,198.21,0
2025-05-15,Direct,165,5,1,4,434.71,0.0,9,0,166.65,0
2025-05-15,Email,140,6,0,6,497.51,0.0,11,0,176.12,0
2025-05-15,Referral,77,1,0,1,83.42,0.0,1,0,30.6,0
2025-05-15,Bol.com,0,2,0,2,157.37,0.0,3,0,58.29,0
2025-05-16,Google Ads,418,10,5,5,842.62,0.0,18,0,318.94,401.26
2025-05-16,Meta Ads,158,2,1,1,154.25,0.0,3,0,58.45,173.12
2025-05-16,Organic Search,388,9,3,6,778.32,0.0,16,0,278.39,0
2025-05-16,Direct,161,6,1,5,511.4,0.0,11,0,184.9,0
2025-05-16,Email,132,6,0,6,420.5,0.0,10,0,156.63,0
2025-05-16,Referral,86,2,0,2,158.77,0.0,3,0,56.07,0
2025-05-16,Bol.com,0,2,0,2,154.94,0.0,3,0,59.38,0
2025-05-17,Google Ads,337,8,4,4,611.46,0.0,15,0,223.36,284.63
2025-05-17,Meta Ads,149,2,1,1,174.02,0.0,3,0,62.99,158.42
2025-05-17,Organic Search,272,6,2,4,434.38,0.0,10,0,160.14,0
2025-05-17,Direct,139,4,1,3,289.19,0.0,7,0,101.72,0
2025-05-17,Email,111,4,0,4,337.43,0.0,7,0,126.81,0
2025-05-17,Referral,73,2,0,2,157.12,0.0,3,0,61.02,0
2025-05-17,Bol.com,0,1,0,1,85.89,0.0,1,0,31.37,0
2025-05-18,Google Ads,257,6,3,3,420.24,0.0,10,0,151.4,240.13
2025-05-18,Meta Ads,116,2,1,1,164.81,0.0,3,0,59.17,139.81
2025-05-18,Organic Search,259,5,1,4,386.82,0.0,8,0,138.94,0
2025-05-18,Direct,116,3,0,3,214.77,0.0,5,0,75.81,0
2025-05-18,Email,110,4,0,4,293.15,0.0,6,0,105.86,0
2025-05-18,Referral,68,1,0,1,77.11,0.0,1,0,29.4,0
2025-05-18,Bol.com,0,1,0,1,84.18,0.0,1,0,30.75,0
2025-05-19,Google Ads,457,11,6,5,759.53,0.0,18,0,270.59,439.75
2025-05-19,Meta Ads,207,3,1,2,231.81,0.0,5,0,84.87,182.84
2025-05-19,Organic Search,418,8,3,5,577.15,0.0,13,0,216.09,0
2025-05-19,Direct,180,5,1,4,394.74,0.0,8,0,141.66,0
2025-05-19,Email,175,7,1,6,585.6,0.0,13,0,213.62,0
2025-05-19,Referral,97,2,1,1,156.09,0.0,3,0,56.13,0
2025-05-19,Bol.com,0,2,0,2,139.47,0.0,3,0,54.18,0
2025-05-20,Google Ads,401,10,5,5,858.11,0.0,16,0,328.5,369.94
2025-05-20,Meta Ads,159,3,2,1,215.81,0.0,5,0,83.16,157.47
2025-05-20,Organic Search,361,9,3,6,712.63,0.0,15,0,263.47,0
2025-05-20,Direct,158,5,1,4,364.97,0.0,8,0,140.68,0
2025-05-20,Email,128,5,0,5,429.2,0.0,9,0,160.18,0
2025-05-20,Referral,91,2,1,1,169.5,0.0,3,0,62.06,0
2025-05-20,Bol.com,0,1,0,1,71.19,0.0,1,0,27.55,0
2025-05-21,Google Ads,433,12,7,5,1000.47,0.0,20,0,363.02,363.74
2025-05-21,Meta Ads,152,3,2,1,259.2,0.0,5,0,91.42,183.37
2025-05-21,Organic Search,383,9,3,6,713.04,0.0,17,0,256.91,0
2025-05-21,Direct,186,5,1,4,351.5,0.0,9,0,129.36,0
2025-05-21,Email,131,5,0,5,367.22,0.0,8,0,139.03,0
2025-05-21,Referral,92,3,1,2,227.19,0.0,5,0,87.12,0
2025-05-21,Bol.com,0,2,0,2,143.37,0.0,3,0,52.09,0
2025-05-22,Google Ads,355,9,5,4,709.93,0.0,17,0,265.66,342.99
