session_date,session_source,session_medium,session_campaign,session_default_channel_grouping,device_category,country,landing_page_path,sessions,engaged_sessions,revenue,page_views,add_to_cart_events,begin_checkout_events,purchase_events,transactions
2025-04-03,google,cpc,Shopping - Best Sellers,Paid Search,desktop,Belgium,/,98,49,118.75,260,8,4,2,2
2025-04-03,google,cpc,Brand - BE,Paid Search,desktop,Netherlands,/,101,61,135.86,306,8,4,2,2
2025-04-03,google,cpc,Performance Max - Prospecting,Paid Search,desktop,Netherlands,/,88,50,119.0,261,7,3,2,2
2025-04-03,google,organic,,Organic Search,tablet,Belgium,/collections/sale,107,63,146.73,306,9,4,2,2
2025-04-03,google,organic,,Organic Search,tablet,Netherlands,/products/premium-hoodie,132,77,122.26,390,11,6,2,2
2025-04-03,google,organic,,Organic Search,mobile,Netherlands,/products/classic-essential-tee,125,70,110.99,341,9,4,2,2
2025-04-03,(direct),(none),,Direct,desktop,Germany,/collections/best-sellers,53,24,67.93,153,4,2,1,1
2025-04-03,(direct),(none),,Direct,mobile,Germany,/products/premium-hoodie,56,26,60.69,154,4,2,1,1
2025-04-03,(direct),(none),,Direct,mobile,Netherlands,/products/classic-essential-tee,56,27,60.29,146,4,2,1,1
2025-04-03,facebook,paid,Retargeting - Website Visitors,Paid Social,mobile,Netherlands,/,36,15,0.0,100,3,1,0,0
2025-04-03,facebook,paid,Broad - Interest Based,Paid Social,desktop,Netherlands,/collections/sale,37,16,0.0,101,3,1,0,0
2025-04-03,facebook,paid,Lookalike - Purchasers,Paid Social,mobile,Netherlands,/collections/new-arrivals,42,18,0.0,124,2,1,0,0
2025-04-03,instagram,paid,Reels - Product Highlights,Paid Social,mobile,Other,/products/classic-essential-tee,18,7,0.0,45,1,0,0,0
2025-04-03,instagram,paid,Reels - Product Highlights,Paid Social,desktop,Netherlands,/collections/new-arrivals,22,10,0.0,52,1,0,0,0
2025-04-03,instagram,paid,Reels - Product Highlights,Paid Social,desktop,Netherlands,/products/weekend-bag,19,9,0.0,55,1,0,0,0
2025-04-03,email,newsletter,Post-Purchase Flow,Email,desktop,Netherlands,/products/premium-hoodie,31,20,70.38,83,2,1,1,1
2025-04-03,email,newsletter,Weekly Newsletter,Email,tablet,Netherlands,/products/organic-joggers,33,22,59.3,84,2,0,1,1
2025-04-03,email,newsletter,Weekly Newsletter,Email,mobile,Netherlands,/collections/best-sellers,33,21,0.0,86,3,1,0,0
2025-04-03,bing,organic,,Organic Search,mobile,Belgium,/products/organic-joggers,16,10,0.0,46,1,0,0,0
2025-04-03,bing,organic,,Organic Search,desktop,Netherlands,/collections/new-arrivals,17,10,0.0,50,1,0,0,0
2025-04-03,bing,organic,,Organic Search,mobile,Netherlands,/,13,7,0.0,31,1,0,0,0
2025-04-03,pinterest,referral,,Social,mobile,France,/products/recycled-sneakers,12,4,0.0,33,1,0,0,0
2025-04-03,pinterest,referral,,Social,desktop,Belgium,/products/organic-joggers,11,4,0.0,32,1,0,0,0
2025-04-03,pinterest,referral,,Social,mobile,Netherlands,/products/weekend-bag,13,5,0.0,34,1,0,0,0
2025-04-04,google,cpc,Shopping - All Products,Paid Search,mobile,Netherlands,/collections/best-sellers,98,52,134.89,295,6,3,2,2
2025-04-04,google,cpc,Brand - NL,Paid Search,desktop,Belgium,/,123,69,175.02,349,10,4,3,3
2025-04-04,google,cpc,Performance Max - Prospecting,Paid Search,mobile,Netherlands,/blogs/style-guide,108,61,121.16,332,10,5,2,2
2025-04-04,google,organic,,Organic Search,desktop,Netherlands,/products/premium-hoodie,139,79,140.63,430,10,5,2,2
2025-04-04,google,organic,,Organic Search,desktop,Netherlands,/collections/sale,142,89,216.37,391,11,5,3,3
2025-04-04,google,organic,,Organic Search,mobile,Netherlands,/products/weekend-bag,144,97,62.72,446,11,5,1,1
2025-04-04,(direct),(none),,Direct,mobile,Germany,/collections/best-sellers,74,39,58.22,236,5,3,1,1
2025-04-04,(direct),(none),,Direct,desktop,Netherlands,/blogs/style-guide,57,30,58.06,177,5,2,1,1
2025-04-04,(direct),(none),,Direct,mobile,Netherlands,/products/organic-joggers,62,28,68.4,175,5,2,1,1
2025-04-04,facebook,paid,Broad - Interest Based,Paid Social,mobile,Netherlands,/products/classic-essential-tee,44,18,0.0,113,2,1,0,0
2025-04-04,facebook,paid,Lookalike - Purchasers,Paid Social,mobile,Netherlands,/,40,16,0.0,107,3,1,0,0
2025-04-04,facebook,paid,Lookalike - Purchasers,Paid Social,mobile,Belgium,/,37,17,0.0,116,2,1,0,0
2025-04-04,instagram,paid,Reels - Product Highlights,Paid Social,mobile,Belgium,/collections/accessories,21,9,0.0,66,2,1,0,0
2025-04-04,instagram,paid,Stories - New Collection,Paid Social,mobile,Netherlands,/collections/new-arrivals,24,11,0.0,64,1,0,0,0
2025-04-04,instagram,paid,Reels - Product Highlights,Paid Social,tablet,Belgium,/collections/new-arrivals,22,10,0.0,63,1,0,0,0
2025-04-04,email,newsletter,Weekly Newsletter,Email,mobile,Netherlands,/pages/about-us,31,18,0.0,93,2,0,0,0
2025-04-04,email,newsletter,Weekly Newsletter,Email,mobile,Belgium,/collections/new-arrivals,33,21,57.01,86,2,0,1,1
2025-04-04,email,newsletter,Abandoned Cart,Email,mobile,Germany,/collections/best-sellers,34,21,0.0,107,3,1,0,0
2025-04-04,bing,organic,,Organic Search,mobile,Netherlands,/,18,10,0.0,48,1,0,0,0
2025-04-04,bing,organic,,Organic Search,desktop,Netherlands,/collections/new-arrivals,15,9,0.0,40,1,0,0,0
2025-04-04,bing,organic,,Organic Search,mobile,Netherlands,/products/premium-hoodie,19,11,0.0,55,1,0,0,0
2025-04-04,pinterest,referral,,Social,mobile,Netherlands,/,11,4,0.0,31,0,0,0,0
2025-04-04,pinterest,referral,,Social,tablet,Belgium,/products/classic-essential-tee,13,5,0.0,40,1,0,0,0
2025-04-04,pinterest,referral,,Social,desktop,Belgium,/collections/new-arrivals,12,4,0.0,32,1,0,0,0
2025-04-05,google,cpc,Performance Max - Prospecting,Paid Search,tablet,France,/blogs/style-guide,59,30,74.19,142,4,2,1,1
2025-04-05,google,cpc,Brand - BE,Paid Search,desktop,Germany,/products/premium-hoodie,70,40,70.35,212,5,2,1,1
2025-04-05,google,cpc,Shopping - All Products,Paid Search,tablet,Netherlands,/pages/about-us,60,35,62.24,182,4,1,1,1
2025-04-05,google,organic,,Organic Search,desktop,Belgium,/products/classic-essential-tee,87,53,130.52,215,6,3,2,2
2025-04-05,google,organic,,Organic Search,desktop,Belgium,/blogs/style-guide,82,50,112.87,228,6,3,2,2
2025-04-05,google,organic,,Organic Search,mobile,Germany,/,71,44,0.0,206,5,2,0,0
2025-04-05,(direct),(none),,Direct,tablet,Netherlands,/collections/best-sellers,42,19,71.88,122,3,1,1,1
2025-04-05,(direct),(none),,Direct,desktop,Netherlands,/collections/new-arrivals,38,18,57.1,104,3,1,1,1
2025-04-05,(direct),(none),,Direct,desktop,France,/,45,20,69.66,137,3,1,1,1
2025-04-05,facebook,paid,Lookalike - Purchasers,Paid Social,mobile,Netherlands,/,26,12,0.0,77,2,1,0,0
2025-04-05,facebook,paid,Lookalike - Purchasers,Paid Social,desktop,Netherlands,/,27,12,0.0,66,1,0,0,0
2025-04-05,facebook,paid,Broad - Interest Based,Paid Social,mobile,Other,/pages/about-us,28,12,0.0,86,2,0,0,0
2025-04-05,instagram,paid,Stories - New Collection,Paid Social,mobile,France,/collections/best-sellers,12,5,0.0,36,1,0,0,0
2025-04-05,instagram,paid,Stories - New Collection,Paid Social,desktop,Netherlands,/,12,5,0.0,37,0,0,0,0
2025-04-05,instagram,paid,Reels - Product Highlights,Paid Social,mobile,Netherlands,/products/organic-joggers,13,5,0.0,32,1,0,0,0
2025-04-05,email,newsletter,Weekly Newsletter,Email,mobile,Netherlands,/collections/new-arrivals,25,14,0.0,75,2,1,0,0
2025-04-05,email,newsletter,Weekly Newsletter,Email,desktop,Belgium,/,21,14,0.0,64,1,0,0,0
2025-04-05,email,newsletter,Weekly Newsletter,Email,desktop,Netherlands,/,20,12,0.0,52,1,0,0,0
2025-04-05,bing,organic,,Organic Search,mobile,Belgium,/blogs/style-guide,12,6,0.0,34,0,0,0,0
2025-04-05,bing,organic,,Organic Search,desktop,Netherlands,/collections/new-arrivals,9,5,0.0,28,0,0,0,0
2025-04-05,bing,organic,,Organic Search,mobile,Germany,/collections/new-arrivals,9,5,0.0,26,0,0,0,0
2025-04-05,pinterest,referral,,Social,mobile,Belgium,/collections/sale,8,3,0.0,23,0,0,0,0
2025-04-05,pinterest,referral,,Social,desktop,Netherlands,/collections/best-sellers,7,2,0.0,18,0,0,0,0
2025-04-05,pinterest,referral,,Social,mobile,Netherlands,/blogs/style-guide,9,3,0.0,25,0,0,0,0
2025-04-06,google,cpc,Brand - BE,Paid Search,mobile,Netherlands,/products/classic-essential-tee,70,35,72.78,186,6,3,1,1
2025-04-06,google,cpc,Brand - NL,Paid Search,desktop,Belgium,/products/recycled-sneakers,78,43,146.3,211,6,3,2,2
2025-04-06,google,cpc,Shopping - All Products,Paid Search,mobile,Belgium,/,68,38,69.36,199,6,3,1,1
2025-04-06,google,organic,,Organic Search,desktop,Belgium,/collections/accessories,88,56,115.53,261,5,2,2,2
2025-04-06,google,organic,,Organic Search,mobile,Netherlands,/,99,66,73.04,243,8,4,1,1
2025-04-06,google,organic,,Organic Search,desktop,Netherlands,/products/weekend-bag,89,58,74.75,223,6,3,1,1
2025-04-06,(direct),(none),,Direct,mobile,Netherlands,/collections/sale,47,24,67.3,135,3,1,1,1
2025-04-06,(direct),(none),,Direct,mobile,Belgium,/collections/accessories,50,22,69.28,159,4,2,1,1
2025-04-06,(direct),(none),,Direct,mobile,Netherlands,/collections/new-arrivals,53,28,59.03,156,4,2,1,1
2025-04-06,facebook,paid,Lookalike - Purchasers,Paid Social,mobile,Belgium,/products/classic-essential-tee,30,12,0.0,93,1,0,0,0
2025-04-06,facebook,paid,Retargeting - Website Visitors,Paid Social,mobile,Netherlands,/blogs/style-guide,34,14,0.0,106,2,1,0,0
2025-04-06,facebook,paid,Retargeting - Website Visitors,Paid Social,mobile,Germany,/products/weekend-bag,30,13,0.0,73,2,1,0,0
2025-04-06,instagram,paid,Stories - New Collection,Paid Social,mobile,Belgium,/pages/about-us,13,5,0.0,32,1,0,0,0
2025-04-06,instagram,paid,Stories - New Collection,Paid Social,mobile,Netherlands,/collections/new-arrivals,14,6,0.0,42,1,0,0,0
2025-04-06,instagram,paid,Reels - Product Highlights,Paid Social,desktop,Belgium,/collections/best-sellers,13,6,0.0,36,0,0,0,0
2025-04-06,email,newsletter,Post-Purchase Flow,Email,desktop,Netherlands,/products/premium-hoodie,22,14,0.0,69,1,0,0,0
2025-04-06,email,newsletter,Post-Purchase Flow,Email,mobile,Netherlands,/products/classic-essential-tee,26,18,0.0,79,1,0,0,0
2025-04-06,email,newsletter,Abandoned Cart,Email,desktop,Belgium,/collections/sale,22,13,0.0,67,1,0,0,0
2025-04-06,bing,organic,,Organic Search,mobile,Germany,/,13,7,0.0,33,0,0,0,0
2025-04-06,bing,organic,,Organic Search,mobile,Other,/products/classic-essential-tee,11,7,0.0,33,1,0,0,0
2025-04-06,bing,organic,,Organic Search,desktop,Netherlands,/collections/accessories,13,8,0.0,36,1,0,0,0
2025-04-06,pinterest,referral,,Social,mobile,Germany,/collections/sale,8,3,0.0,21,0,0,0,0
2025-04-06,pinterest,referral,,Social,desktop,Belgium,/collections/best-sellers,9,3,0.0,24,0,0,0,0
2025-04-06,pinterest,referral,,Social,tablet,France,/,9,3,0.0,28,0,0,0,0
2025-04-07,google,cpc,Performance Max - Prospecting,Paid Search,desktop,Belgium,/collections/best-sellers,101,56,136.98,320,7,4,2,2
2025-04-07,google,cpc,Shopping - All Products,Paid Search,desktop,Netherlands,/collections/new-arrivals,97,58,117.76,273,9,4,2,2
2025-04-07,google,cpc,Brand - NL,Paid Search,mobile,Netherlands,/products/premium-hoodie,110,66,57.9,268,7,4,1,1
2025-04-07,google,organic,,Organic Search,mobile,France,/products/recycled-sneakers,132,85,121.82,347,9,5,2,2
2025-04-07,google,organic,,Organic Search,mobile,Netherlands,/collections/best-sellers,115,78,59.87,321,8,4,1,1
2025-04-07,google,organic,,Organic Search,mobile,Other,/,140,79,138.46,389,10,5,2,2
2025-04-07,(direct),(none),,Direct,mobile,Netherlands,/collections/new-arrivals,54,26,57.75,166,4,2,1,1
2025-04-07,(direct),(none),,Direct,mobile,Netherlands,/products/classic-essential-tee,69,36,61.18,173,6,3,1,1
2025-04-07,(direct),(none),,Direct,tablet,Netherlands,/collections/new-arrivals,54,25,60.6,156,4,1,1,1
2025-04-07,facebook,paid,Retargeting - Website Visitors,Paid Social,mobile,Belgium,/products/premium-hoodie,37,17,0.0,116,2,1,0,0
2025-04-07,facebook,paid,Lookalike - Purchasers,Paid Social,desktop,Belgium,/products/premium-hoodie,43,20,0.0,120,3,1,0,0
2025-04-07,facebook,paid,Lookalike - Purchasers,Paid Social,mobile,Germany,/collections/sale,39,16,0.0,108,2,1,0,0
2025-04-07,instagram,paid,Reels - Product Highlights,Paid Social,mobile,Netherlands,/products/recycled-sneakers,19,8,0.0,46,1,0,0,0
2025-04-07,instagram,paid,Reels - Product Highlights,Paid Social,desktop,Netherlands,/collections/new-arrivals,20,9,0.0,50,1,0,0,0
2025-04-07,instagram,paid,Reels - Product Highlights,Paid Social,desktop,Netherlands,/products/recycled-sneakers,20,9,0.0,54,1,0,0,0
2025-04-07,email,newsletter,Abandoned Cart,Email,desktop,Netherlands,/products/premium-hoodie,36,24,55.41,88,2,1,1,1
2025-04-07,email,newsletter,Post-Purchase Flow,Email,mobile,Netherlands,/collections/best-sellers,34,20,56.68,95,3,1,1,1
2025-04-07,email,newsletter,Post-Purchase Flow,Email,mobile,Netherlands,/products/recycled-sneakers,32,22,0.0,96,2,1,0,0
2025-04-07,bing,organic,,Organic Search,desktop,Netherlands,/collections/sale,18,11,0.0,44,1,0,0,0
2025-04-07,bing,organic,,Organic Search,desktop,Belgium,/blogs/style-guide,17,10,0.0,48,1,0,0,0
2025-04-07,bing,organic,,Organic Search,desktop,Netherlands,/collections/best-sellers,15,10,0.0,43,1,0,0,0
2025-04-07,pinterest,referral,,Social,tablet,Belgium,/collections/new-arrivals,10,3,0.0,30,0,0,0,0
2025-04-07,pinterest,referral,,Social,desktop,Belgium,/collections/sale,11,4,0.0,28,0,0,0,0
2025-04-07,pinterest,referral,,Social,mobile,Germany,/collections/sale,13,5,0.0,36,0,0,0,0
2025-04-08,google,cpc,Shopping - All Products,Paid Search,mobile,Belgium,/blogs/style-guide,106,61,64.69,337,7,3,1,1
2025-04-08,google,cpc,Performance Max - Prospecting,Paid Search,mobile,Belgium,/collections/sale,100,54,146.94,298,7,3,2,2
2025-04-08,google,cpc,Shopping - All Products,Paid Search,desktop,Other,/pages/about-us,114,66,121.72,339,8,4,2,2
2025-04-08,google,organic,,Organic Search,mobile,Netherlands,/blogs/style-guide,112,70,57.38,336,8,3,1,1
2025-04-08,google,organic,,Organic Search,mobile,Netherlands,/collections/new-arrivals,106,63,68.53,264,10,6,1,1
2025-04-08,google,organic,,Organic Search,desktop,Belgium,/collections/accessories,119,76,121.7,311,7,4,2,2
2025-04-08,(direct),(none),,Direct,mobile,Netherlands,/collections/sale,66,29,63.4,203,6,2,1,1
2025-04-08,(direct),(none),,Direct,mobile,Belgium,/,64,34,55.98,168,5,3,1,1
2025-04-08,(direct),(none),,Direct,desktop,Netherlands,/products/organic-joggers,60,32,65.08,156,5,2,1,1
2025-04-08,facebook,paid,Lookalike - Purchasers,Paid Social,mobile,Belgium,/collections/sale,34,14,0.0,86,2,1,0,0
2025-04-08,facebook,paid,Lookalike - Purchasers,Paid Social,mobile,Netherlands,/,42,17,0.0,108,3,1,0,0
2025-04-08,facebook,paid,Broad - Interest Based,Paid Social,tablet,Netherlands,/collections/sale,34,15,0.0,84,2,1,0,0
2025-04-08,instagram,paid,Reels - Product Highlights,Paid Social,mobile,Germany,/collections/sale,21,9,0.0,53,1,0,0,0
2025-04-08,instagram,paid,Stories - New Collection,Paid Social,mobile,Belgium,/collections/best-sellers,20,8,0.0,51,1,0,0,0
2025-04-08,instagram,paid,Reels - Product Highlights,Paid Social,mobile,Netherlands,/collections/best-sellers,22,9,0.0,56,1,0,0,0
2025-04-08,email,newsletter,Abandoned Cart,Email,desktop,Netherlands,/products/premium-hoodie,28,18,64.09,78,2,0,1,1
2025-04-08,email,newsletter,Weekly Newsletter,Email,mobile,Netherlands,/,29,16,0.0,79,2,1,0,0
2025-04-08,email,newsletter,Abandoned Cart,Email,tablet,Netherlands,/products/weekend-bag,27,17,70.18,86,2,1,1,1
2025-04-08,bing,organic,,Organic Search,desktop,Germany,/collections/best-sellers,14,9,0.0,43,0,0,0,0
2025-04-08,bing,organic,,Organic Search,desktop,Netherlands,/products/recycled-sneakers,17,11,0.0,50,1,0,0,0
2025-04-08,bing,organic,,Organic Search,desktop,Netherlands,/,14,9,0.0,41,1,0,0,0
2025-04-08,pinterest,referral,,Social,mobile,Netherlands,/,12,4,0.0,31,0,0,0,0
2025-04-08,pinterest,referral,,Social,mobile,Belgium,/collections/sale,10,4,0.0,28,0,0,0,0
2025-04-08,pinterest,referral,,Social,mobile,Netherlands,/collections/accessories,13,5,0.0,37,1,0,0,0
2025-04-09,google,cpc,Performance Max - Prospecting,Paid Search,mobile,Netherlands,/collections/new-arrivals,104,55,137.66,283,7,3,2,2
2025-04-09,google,cpc,Brand - BE,Paid Search,mobile,Germany,/collections/new-arrivals,106,61,132.43,338,8,3,2,2
2025-04-09,google,cpc,Brand - NL,Paid Search,desktop,Netherlands,/,98,52,142.85,237,7,3,2,2
2025-04-09,google,organic,,Organic Search,mobile,Netherlands,/collections/sale,128,80,72.2,340,12,5,1,1
2025-04-09,google,organic,,Organic Search,tablet,France,/,137,84,134.07,349,12,6,2,2
2025-04-09,google,organic,,Organic Search,mobile,Netherlands,/products/classic-essential-tee,114,67,64.95,280,10,5,1,1
2025-04-09,(direct),(none),,Direct,mobile,Germany,/collections/best-sellers,58,29,58.1,150,5,2,1,1
2025-04-09,(direct),(none),,Direct,desktop,Netherlands,/collections/new-arrivals,57,30,68.01,168,4,2,1,1
2025-04-09,(direct),(none),,Direct,tablet,Belgium,/products/classic-essential-tee,54,28,69.3,150,5,2,1,1
2025-04-09,facebook,paid,Broad - Interest Based,Paid Social,mobile,Netherlands,/,44,21,0.0,119,4,2,0,0
2025-04-09,facebook,paid,Lookalike - Purchasers,Paid Social,desktop,Netherlands,/collections/best-sellers,34,15,0.0,99,2,1,0,0
2025-04-09,facebook,paid,Retargeting - Website Visitors,Paid Social,desktop,Netherlands,/collections/new-arrivals,45,18,0.0,137,4,1,0,0
2025-04-09,instagram,paid,Stories - New Collection,Paid Social,mobile,Netherlands,/products/premium-hoodie,18,7,0.0,57,1,0,0,0
2025-04-09,instagram,paid,Stories - New Collection,Paid Social,desktop,Germany,/,22,10,0.0,59,1,0,0,0
2025-04-09,instagram,paid,Reels - Product Highlights,Paid Social,desktop,Germany,/products/organic-joggers,18,8,0.0,56,1,0,0,0
2025-04-09,email,newsletter,Weekly Newsletter,Email,desktop,France,/collections/sale,29,19,58.75,89,1,0,1,1
2025-04-09,email,newsletter,Post-Purchase Flow,Email,mobile,Belgium,/collections/best-sellers,27,16,0.0,73,2,1,0,0
2025-04-09,email,newsletter,Post-Purchase Flow,Email,desktop,Other,/collections/sale,32,22,63.77,98,2,1,1,1
2025-04-09,bing,organic,,Organic Search,desktop,Belgium,/,14,9,0.0,44,1,0,0,0
2025-04-09,bing,organic,,Organic Search,mobile,Netherlands,/products/premium-hoodie,17,10,0.0,50,1,0,0,0
2025-04-09,bing,organic,,Organic Search,desktop,Netherlands,/,15,9,0.0,38,1,0,0,0
2025-04-09,pinterest,referral,,Social,desktop,Netherlands,/collections/best-sellers,10,4,0.0,26,0,0,0,0
2025-04-09,pinterest,referral,,Social,mobile,Germany,/products/recycled-sneakers,12,4,0.0,31,0,0,0,0
2025-04-09,pinterest,referral,,Social,desktop,Netherlands,/products/classic-essential-tee,10,3,0.0,28,0,0,0,0
2025-04-10,google,cpc,Search - Generic,Paid Search,desktop,Belgium,/pages/about-us,100,53,216.03,319,6,3,3,3
2025-04-10,google,cpc,Shopping - Best Sellers,Paid Search,desktop,Netherlands,/products/recycled-sneakers,120,63,194.47,343,8,4,3,3
2025-04-10,google,cpc,Shopping - All Products,Paid Search,desktop,France,/,121,62,167.32,361,11,5,3,3
2025-04-10,google,organic,,Organic Search,mobile,Netherlands,/blogs/style-guide,138,88,61.16,357,9,4,1,1
2025-04-10,google,organic,,Organic Search,desktop,Netherlands,/products/premium-hoodie,129,80,216.62,352,8,5,3,3
2025-04-10,google,organic,,Organic Search,mobile,Germany,/products/premium-hoodie,142,81,68.21,357,11,6,1,1
2025-04-10,(direct),(none),,Direct,mobile,Belgium,/products/recycled-sneakers,60,31,57.17,153,5,2,1,1
2025-04-10,(direct),(none),,Direct,mobile,Netherlands,/collections/best-sellers,62,32,58.19,199,4,2,1,1
2025-04-10,(direct),(none),,Direct,mobile,Netherlands,/blogs/style-guide,67,32,70.54,188,5,2,1,1
2025-04-10,facebook,paid,Broad - Interest Based,Paid Social,mobile,Netherlands,/,36,16,0.0,88,3,1,0,0
2025-04-10,facebook,paid,Retargeting - Website Visitors,Paid Social,desktop,Netherlands,/,43,21,0.0,109,3,1,0,0
2025-04-10,facebook,paid,Broad - Interest Based,Paid Social,mobile,Germany,/collections/best-sellers,41,16,0.0,121,3,1,0,0
2025-04-10,instagram,paid,Reels - Product Highlights,Paid Social,desktop,Netherlands,/collections/best-sellers,19,9,0.0,54,1,0,0,0
