event_date,device_category,channel_grouping,sessions,product_views,add_to_cart,begin_checkout,purchases,revenue
2025-04-04,mobile,Organic Search,168,108,17,7,3,188.77
2025-04-04,desktop,Direct,87,57,11,5,2,114.41
2025-04-04,mobile,Direct,83,56,8,3,1,65.02
2025-04-04,desktop,Paid Social,96,61,10,5,3,216.51
2025-04-04,mobile,Paid Social,80,49,7,3,1,71.33
2025-04-04,desktop,Email,45,31,5,2,1,60.81
2025-04-04,mobile,Email,44,28,4,2,1,65.22
2025-04-05,desktop,Paid Search,117,74,13,7,3,178.89
2025-04-05,mobile,Paid Search,108,67,10,5,2,125.1
2025-04-05,desktop,Organic Search,153,93,18,10,5,324.71
2025-04-05,mobile,Organic Search,114,71,10,4,2,125.83
2025-04-05,desktop,Direct,77,51,8,4,2,139.44
2025-04-05,mobile,Direct,62,38,5,2,0,0.0
2025-04-05,desktop,Paid Social,65,44,7,3,1,59.29
2025-04-05,mobile,Paid Social,58,36,5,2,1,60.66
2025-04-05,desktop,Email,34,22,4,2,1,72.44
2025-04-05,mobile,Email,34,20,3,1,0,0.0
2025-04-06,desktop,Paid Search,118,71,14,7,4,281.46
2025-04-06,mobile,Paid Search,106,73,11,5,2,123.73
2025-04-06,desktop,Organic Search,143,87,17,10,5,299.81
2025-04-06,mobile,Organic Search,116,75,11,5,2,134.17
2025-04-06,desktop,Direct,80,49,9,4,2,115.33
2025-04-06,mobile,Direct,63,41,6,3,1,63.78
2025-04-06,desktop,Paid Social,67,44,8,4,2,116.46
2025-04-06,mobile,Paid Social,64,39,6,2,0,0.0
2025-04-06,desktop,Email,37,23,4,2,1,63.54
2025-04-06,mobile,Email,31,19,2,1,0,0.0
2025-04-07,desktop,Paid Search,195,130,22,12,7,481.33
2025-04-07,mobile,Paid Search,139,94,13,6,2,118.74
2025-04-07,desktop,Organic Search,211,137,27,15,9,625.06
2025-04-07,mobile,Organic Search,174,104,19,9,4,229.45
2025-04-07,desktop,Direct,125,84,13,7,4,273.25
2025-04-07,mobile,Direct,94,61,9,4,1,61.31
2025-04-07,desktop,Paid Social,120,76,14,7,3,205.96
2025-04-07,mobile,Paid Social,86,53,8,4,2,114.64
2025-04-07,desktop,Email,59,36,6,3,1,69.5
2025-04-07,mobile,Email,52,35,5,2,1,61.74
2025-04-08,desktop,Paid Search,177,109,19,11,6,394.52
2025-04-08,mobile,Paid Search,139,90,13,6,3,211.85
2025-04-08,desktop,Organic Search,200,137,22,13,7,431.47
2025-04-08,mobile,Organic Search,156,95,14,6,3,189.06
2025-04-08,desktop,Direct,95,59,12,6,3,213.95
2025-04-08,mobile,Direct,81,55,7,3,1,59.62
2025-04-08,desktop,Paid Social,106,70,11,6,3,211.64
2025-04-08,mobile,Paid Social,79,53,8,4,2,115.41
2025-04-08,desktop,Email,56,37,6,3,1,58.77
2025-04-08,mobile,Email,41,26,4,1,0,0.0
2025-04-09,desktop,Paid Search,145,100,15,7,4,239.74
2025-04-09,mobile,Paid Search,147,91,14,6,2,123.63
2025-04-09,desktop,Organic Search,201,138,26,14,8,494.95
2025-04-09,mobile,Organic Search,165,100,15,7,3,198.9
2025-04-09,desktop,Direct,92,56,10,5,2,139.06
2025-04-09,mobile,Direct,86,56,7,3,1,57.62
2025-04-09,desktop,Paid Social,107,68,14,7,3,176.43
2025-04-09,mobile,Paid Social,85,59,8,3,1,61.14
2025-04-09,desktop,Email,52,31,6,3,1,58.72
2025-04-09,mobile,Email,46,29,4,1,0,0.0
2025-04-10,desktop,Paid Search,183,111,21,12,7,492.39
2025-04-10,mobile,Paid Search,149,99,14,7,3,199.68
2025-04-10,desktop,Organic Search,203,132,25,13,7,449.4
2025-04-10,mobile,Organic Search,148,101,14,7,3,201.63
2025-04-10,desktop,Direct,103,66,11,5,3,181.57
2025-04-10,mobile,Direct,75,45,7,3,1,58.03
2025-04-10,desktop,Paid Social,89,55,11,5,3,185.63
2025-04-10,mobile,Paid Social,85,55,9,4,1,62.55
2025-04-10,desktop,Email,49,31,5,2,1,67.66
2025-04-10,mobile,Email,42,25,3,1,0,0.0
2025-04-11,desktop,Paid Search,174,112,22,12,6,387.73
2025-04-11,mobile,Paid Search,151,104,14,6,3,214.37
2025-04-11,desktop,Organic Search,193,127,22,12,7,425.01
2025-04-11,mobile,Organic Search,162,102,16,8,3,205.68
2025-04-11,desktop,Direct,111,68,13,7,4,266.37
2025-04-11,mobile,Direct,83,54,9,4,2,133.71
2025-04-11,desktop,Paid Social,109,65,12,6,3,181.53
2025-04-11,mobile,Paid Social,87,57,8,3,1,63.46
2025-04-11,desktop,Email,55,34,7,3,1,66.39
2025-04-11,mobile,Email,39,26,4,2,0,0.0
2025-04-12,desktop,Paid Search,132,82,15,8,4,239.47
2025-04-12,mobile,Paid Search,109,69,10,4,2,117.03
2025-04-12,desktop,Organic Search,175,110,18,9,5,329.13
2025-04-12,mobile,Organic Search,141,91,15,7,3,188.27
2025-04-12,desktop,Direct,83,52,10,5,2,142.14
2025-04-12,mobile,Direct,67,40,7,3,1,71.89
2025-04-12,desktop,Paid Social,78,53,9,4,2,121.9
2025-04-12,mobile,Paid Social,57,39,6,2,0,0.0
2025-04-12,desktop,Email,43,25,5,2,1,59.99
2025-04-12,mobile,Email,30,18,3,1,0,0.0
2025-04-13,desktop,Paid Search,118,73,14,7,4,286.49
2025-04-13,mobile,Paid Search,95,65,10,4,2,121.51
2025-04-13,desktop,Organic Search,153,98,20,10,5,304.17
2025-04-13,mobile,Organic Search,106,71,11,5,2,142.47
2025-04-13,desktop,Direct,67,43,7,4,2,139.77
2025-04-13,mobile,Direct,64,42,6,2,1,62.67
2025-04-13,desktop,Paid Social,74,50,8,4,2,142.58
2025-04-13,mobile,Paid Social,65,45,6,3,1,58.63
2025-04-13,desktop,Email,36,24,3,1,0,0.0
2025-04-13,mobile,Email,30,18,2,1,0,0.0
2025-04-14,desktop,Paid Search,179,112,23,12,6,360.58
2025-04-14,mobile,Paid Search,142,96,15,7,3,174.3
2025-04-14,desktop,Organic Search,218,152,26,13,8,487.35
2025-04-14,mobile,Organic Search,191,126,18,9,4,264.65
2025-04-14,desktop,Direct,94,61,10,5,3,198.64
2025-04-14,mobile,Direct,98,67,9,4,1,71.46
2025-04-14,desktop,Paid Social,104,72,11,5,2,129.88
2025-04-14,mobile,Paid Social,91,56,9,4,1,61.46
2025-04-14,desktop,Email,63,43,7,3,1,62.67
2025-04-14,mobile,Email,44,29,4,1,0,0.0
2025-04-15,desktop,Paid Search,178,110,21,12,7,466.47
2025-04-15,mobile,Paid Search,131,78,14,7,3,205.26
2025-04-15,desktop,Organic Search,189,132,23,11,5,341.97
2025-04-15,mobile,Organic Search,173,117,19,10,4,268.5
2025-04-15,desktop,Direct,112,73,12,6,3,192.11
2025-04-15,mobile,Direct,91,57,9,4,2,144.58
2025-04-15,desktop,Paid Social,96,64,12,6,3,196.23
2025-04-15,mobile,Paid Social,85,51,8,3,1,57.71
2025-04-15,desktop,Email,57,37,6,3,1,68.37
2025-04-15,mobile,Email,42,27,4,1,0,0.0
2025-04-16,desktop,Paid Search,160,109,17,9,5,361.17
2025-04-16,mobile,Paid Search,143,85,13,6,2,134.25
2025-04-16,desktop,Organic Search,191,119,24,14,8,460.06
2025-04-16,mobile,Organic Search,174,108,18,9,4,267.64
2025-04-16,desktop,Direct,93,58,11,6,3,185.67
2025-04-16,mobile,Direct,83,55,7,3,1,61.48
2025-04-16,desktop,Paid Social,90,57,10,5,3,175.71
2025-04-16,mobile,Paid Social,73,50,7,3,1,65.63
2025-04-16,desktop,Email,48,32,6,2,1,66.65
2025-04-16,mobile,Email,44,29,4,1,0,0.0
2025-04-17,desktop,Paid Search,170,107,19,9,5,335.57
2025-04-17,mobile,Paid Search,127,88,14,6,2,134.83
2025-04-17,desktop,Organic Search,212,136,27,14,8,515.7
2025-04-17,mobile,Organic Search,180,119,20,8,4,274.61
2025-04-17,desktop,Direct,90,57,11,6,3,186.13
2025-04-17,mobile,Direct,91,59,9,4,2,124.64
2025-04-17,desktop,Paid Social,108,67,12,6,3,184.7
2025-04-17,mobile,Paid Social,89,61,9,4,2,135.52
2025-04-17,desktop,Email,59,39,6,3,1,67.18
2025-04-17,mobile,Email,45,29,4,1,0,0.0
2025-04-18,desktop,Paid Search,180,117,20,11,6,360.76
2025-04-18,mobile,Paid Search,144,89,14,6,2,121.12
2025-04-18,desktop,Organic Search,206,143,24,13,7,433.23
2025-04-18,mobile,Organic Search,148,100,13,6,3,212.45
2025-04-18,desktop,Direct,92,60,11,5,2,142.77
2025-04-18,mobile,Direct,79,48,8,4,1,61.5
2025-04-18,desktop,Paid Social,100,62,12,6,3,177.4
2025-04-18,mobile,Paid Social,82,51,8,3,1,58.49
2025-04-18,desktop,Email,56,34,6,3,1,58.13
2025-04-18,mobile,Email,44,29,4,1,0,0.0
2025-04-19,desktop,Paid Search,119,82,15,7,4,271.45
2025-04-19,mobile,Paid Search,103,62,10,4,1,60.93
2025-04-19,desktop,Organic Search,142,96,18,9,5,354.83
2025-04-19,mobile,Organic Search,125,81,12,5,2,129.5
2025-04-19,desktop,Direct,77,53,8,4,2,126.97
2025-04-19,mobile,Direct,54,34,5,2,0,0.0
2025-04-19,desktop,Paid Social,65,44,7,4,2,121.61
2025-04-19,mobile,Paid Social,61,42,6,2,1,61.7
2025-04-19,desktop,Email,42,27,5,2,1,69.45
2025-04-19,mobile,Email,28,19,2,0,0,0.0
2025-04-20,desktop,Paid Search,138,95,18,9,5,345.83
2025-04-20,mobile,Paid Search,95,61,10,4,2,144.77
2025-04-20,desktop,Organic Search,161,96,17,9,5,312.59
2025-04-20,mobile,Organic Search,118,79,11,5,2,135.88
2025-04-20,desktop,Direct,70,49,8,4,2,125.34
2025-04-20,mobile,Direct,65,42,7,3,1,59.97
2025-04-20,desktop,Paid Social,81,55,9,5,2,125.49
2025-04-20,mobile,Paid Social,59,41,5,2,1,61.89
2025-04-20,desktop,Email,37,23,4,2,1,64.56
2025-04-20,mobile,Email,34,20,3,1,0,0.0
2025-04-21,desktop,Paid Search,187,117,20,10,5,331.33
2025-04-21,mobile,Paid Search,141,90,13,6,3,188.94
2025-04-21,desktop,Organic Search,220,138,25,13,7,506.65
2025-04-21,mobile,Organic Search,181,110,19,9,4,241.79
2025-04-21,desktop,Direct,112,69,13,6,3,210.38
2025-04-21,mobile,Direct,86,58,7,3,1,57.23
2025-04-21,desktop,Paid Social,113,71,12,6,3,217.35
2025-04-21,mobile,Paid Social,104,64,9,4,1,71.96
2025-04-21,desktop,Email,61,37,7,3,1,71.74
2025-04-21,mobile,Email,55,37,5,2,0,0.0
2025-04-22,desktop,Paid Search,183,125,20,11,7,407.63
2025-04-22,mobile,Paid Search,120,72,13,6,3,216.25
2025-04-22,desktop,Organic Search,204,141,26,13,7,474.17
2025-04-22,mobile,Organic Search,180,119,16,7,3,208.43
2025-04-22,desktop,Direct,90,57,10,5,2,119.45
2025-04-22,mobile,Direct,78,48,7,3,1,70.2
2025-04-22,desktop,Paid Social,105,67,13,7,4,281.5
2025-04-22,mobile,Paid Social,88,54,8,3,1,63.55
2025-04-22,desktop,Email,53,34,6,3,1,68.89
2025-04-22,mobile,Email,44,27,4,1,0,0.0
2025-04-23,desktop,Paid Search,160,98,19,10,5,353.41
2025-04-23,mobile,Paid Search,149,91,14,6,3,184.42
2025-04-23,desktop,Organic Search,184,123,20,11,6,421.6
2025-04-23,mobile,Organic Search,165,106,15,8,3,180.54
2025-04-23,desktop,Direct,92,63,10,5,3,183.17
2025-04-23,mobile,Direct,88,54,9,4,2,118.43
2025-04-23,desktop,Paid Social,98,67,12,6,3,199.56
2025-04-23,mobile,Paid Social,92,56,9,4,1,60.39
2025-04-23,desktop,Email,60,38,7,3,1,60.2
2025-04-23,mobile,Email,39,25,4,2,0,0.0
2025-04-24,desktop,Paid Search,152,105,17,9,5,315.9
2025-04-24,mobile,Paid Search,151,97,14,6,3,209.69
2025-04-24,desktop,Organic Search,215,134,27,14,8,469.97
2025-04-24,mobile,Organic Search,167,99,18,8,4,254.36
2025-04-24,desktop,Direct,110,72,13,6,3,197.4
2025-04-24,mobile,Direct,89,55,8,3,1,65.1
2025-04-24,desktop,Paid Social,101,64,10,5,3,179.0
2025-04-24,mobile,Paid Social,90,63,9,4,1,69.1
2025-04-24,desktop,Email,50,30,6,3,1,65.99
2025-04-24,mobile,Email,45,31,4,1,0,0.0
2025-04-25,desktop,Paid Search,161,100,20,9,5,295.01
2025-04-25,mobile,Paid Search,125,84,11,4,1,63.66
2025-04-25,desktop,Organic Search,193,125,22,11,7,433.33
2025-04-25,mobile,Organic Search,177,123,16,7,3,214.01
2025-04-25,desktop,Direct,90,57,9,5,2,124.43
2025-04-25,mobile,Direct,77,48,8,3,1,60.46
2025-04-25,desktop,Paid Social,91,55,11,6,3,183.56
2025-04-25,mobile,Paid Social,81,55,8,3,1,62.42
2025-04-25,desktop,Email,52,32,5,2,1,70.82
2025-04-25,mobile,Email,47,31,4,2,0,0.0
2025-04-26,desktop,Paid Search,143,92,16,8,4,249.22
2025-04-26,mobile,Paid Search,106,64,9,4,1,71.71
2025-04-26,desktop,Organic Search,163,106,20,11,6,387.08
2025-04-26,mobile,Organic Search,141,88,14,6,2,129.2
2025-04-26,desktop,Direct,78,53,8,4,2,131.02
2025-04-26,mobile,Direct,70,44,7,3,1,62.87
2025-04-26,desktop,Paid Social,74,48,9,5,3,179.57
2025-04-26,mobile,Paid Social,64,38,6,2,1,67.59
2025-04-26,desktop,Email,40,26,4,2,1,58.61
2025-04-26,mobile,Email,35,23,3,1,0,0.0
2025-04-27,desktop,Paid Search,118,72,13,7,4,241.13
2025-04-27,mobile,Paid Search,97,64,10,5,2,119.8
2025-04-27,desktop,Organic Search,160,96,17,9,5,311.85
2025-04-27,mobile,Organic Search,133,79,14,7,3,203.47
2025-04-27,desktop,Direct,77,46,8,4,2,136.64
2025-04-27,mobile,Direct,59,36,5,2,1,64.41
2025-04-27,desktop,Paid Social,69,45,7,4,2,132.59
2025-04-27,mobile,Paid Social,57,34,5,2,1,65.87
2025-04-27,desktop,Email,36,22,4,2,1,58.14
2025-04-27,mobile,Email,32,20,3,1,0,0.0
2025-04-28,desktop,Paid Search,185,128,22,13,7,462.88
2025-04-28,mobile,Paid Search,148,97,15,7,3,186.52
2025-04-28,desktop,Organic Search,207,131,22,12,6,385.84
2025-04-28,mobile,Organic Search,199,134,19,9,4,245.71
2025-04-28,desktop,Direct,96,65,12,6,3,176.7
2025-04-28,mobile,Direct,91,57,8,4,2,132.52
2025-04-28,desktop,Paid Social,122,73,13,7,4,290.62
2025-04-28,mobile,Paid Social,86,53,8,4,1,69.83
2025-04-28,desktop,Email,54,34,5,2,1,70.88
2025-04-28,mobile,Email,50,33,4,1,0,0.0
2025-04-29,desktop,Paid Search,185,111,23,13,8,535.86
2025-04-29,mobile,Paid Search,121,83,11,5,2,119.11
2025-04-29,desktop,Organic Search,222,146,25,13,7,460.51
2025-04-29,mobile,Organic Search,165,106,16,8,3,189.42
2025-04-29,desktop,Direct,98,64,11,5,2,124.55
2025-04-29,mobile,Direct,72,47,6,2,0,0.0
2025-04-29,desktop,Paid Social,101,63,12,6,3,184.65
2025-04-29,mobile,Paid Social,83,51,7,3,1,70.4
2025-04-29,desktop,Email,58,35,6,3,1,57.43
2025-04-29,mobile,Email,44,26,4,1,0,0.0
2025-04-30,desktop,Paid Search,162,101,20,10,5,356.63
2025-04-30,mobile,Paid Search,129,80,13,6,3,208.68
2025-04-30,desktop,Organic Search,211,135,26,13,8,489.74
2025-04-30,mobile,Organic Search,147,102,15,7,3,201.44
2025-04-30,desktop,Direct,112,70,12,6,3,217.81
2025-04-30,mobile,Direct,77,50,7,3,1,62.75
2025-04-30,desktop,Paid Social,105,68,12,6,3,184.26
2025-04-30,mobile,Paid Social,86,58,9,4,1,66.6
2025-04-30,desktop,Email,59,35,6,3,1,60.88
2025-04-30,mobile,Email,48,30,4,1,0,0.0
2025-05-01,desktop,Paid Search,157,102,20,10,5,348.78
2025-05-01,mobile,Paid Search,142,88,14,6,2,128.41
2025-05-01,desktop,Organic Search,203,141,25,12,7,508.39
2025-05-01,mobile,Organic Search,161,101,17,7,3,200.44
2025-05-01,desktop,Direct,100,67,12,6,3,197.19
2025-05-01,mobile,Direct,90,58,8,3,1,65.89
2025-05-01,desktop,Paid Social,90,61,11,5,2,131.9
2025-05-01,mobile,Paid Social,91,59,9,4,1,63.26
2025-05-01,desktop,Email,53,34,5,2,1,57.63
2025-05-01,mobile,Email,38,24,4,2,1,64.94
2025-05-02,desktop,Paid Search,179,114,21,11,6,358.55
2025-05-02,mobile,Paid Search,154,105,15,7,3,192.91
2025-05-02,desktop,Organic Search,205,141,23,13,8,489.89
2025-05-02,mobile,Organic Search,192,118,20,9,4,289.79
2025-05-02,desktop,Direct,115,75,14,7,4,246.83
2025-05-02,mobile,Direct,77,50,7,3,1,66.01
2025-05-02,desktop,Paid Social,111,74,14,7,4,263.89
2025-05-02,mobile,Paid Social,82,52,8,3,1,61.48
2025-05-02,desktop,Email,61,42,6,3,1,69.94
2025-05-02,mobile,Email,47,30,5,2,0,0.0
2025-05-03,desktop,Paid Search,133,86,17,8,5,322.0
2025-05-03,mobile,Paid Search,93,63,10,5,2,144.22
2025-05-03,desktop,Organic Search,161,100,21,10,6,367.75
2025-05-03,mobile,Organic Search,133,90,13,5,2,135.39
2025-05-03,desktop,Direct,83,52,10,5,2,134.8
2025-05-03,mobile,Direct,54,35,5,2,0,0.0
2025-05-03,desktop,Paid Social,82,57,10,4,2,130.82
2025-05-03,mobile,Paid Social,64,44,7,3,1,65.56
2025-05-03,desktop,Email,43,26,5,2,1,66.61
2025-05-03,mobile,Email,31,20,3,1,0,0.0
2025-05-04,desktop,Paid Search,130,79,16,8,4,241.03
2025-05-04,mobile,Paid Search,101,67,10,4,2,135.4
2025-05-04,desktop,Organic Search,146,91,16,9,5,324.07
2025-05-04,mobile,Organic Search,114,78,11,5,2,128.15
2025-05-04,desktop,Direct,78,51,10,5,2,120.85
2025-05-04,mobile,Direct,54,35,6,2,1,58.36
2025-05-04,desktop,Paid Social,78,52,8,4,2,133.4
2025-05-04,mobile,Paid Social,64,44,6,2,0,0.0
2025-05-04,desktop,Email,38,24,4,2,1,63.17
2025-05-04,mobile,Email,35,21,3,1,0,0.0
2025-05-05,desktop,Paid Search,191,118,25,12,7,494.81
2025-05-05,mobile,Paid Search,132,83,12,5,2,117.85
2025-05-05,desktop,Organic Search,243,166,28,14,8,513.57
2025-05-05,mobile,Organic Search,174,116,16,7,3,195.02
2025-05-05,desktop,Direct,101,69,11,6,3,185.81
2025-05-05,mobile,Direct,88,53,9,4,2,124.97
2025-05-05,desktop,Paid Social,98,65,11,5,3,184.3
2025-05-05,mobile,Paid Social,89,57,9,4,1,67.67
2025-05-05,desktop,Email,55,33,6,3,1,69.31
2025-05-05,mobile,Email,46,28,4,1,0,0.0
2025-05-06,desktop,Paid Search,163,110,21,11,5,331.88
2025-05-06,mobile,Paid Search,160,99,16,7,3,204.58
2025-05-06,desktop,Organic Search,221,141,27,13,8,539.97
2025-05-06,mobile,Organic Search,166,112,17,7,3,178.71
2025-05-06,desktop,Direct,117,78,13,7,4,237.52
2025-05-06,mobile,Direct,78,53,7,3,1,58.35
2025-05-06,desktop,Paid Social,115,71,13,6,3,203.18
2025-05-06,mobile,Paid Social,89,56,9,4,2,116.9
2025-05-06,desktop,Email,60,38,7,4,2,127.31
2025-05-06,mobile,Email,43,27,4,2,0,0.0
2025-05-07,desktop,Paid Search,163,112,17,9,5,326.32
2025-05-07,mobile,Paid Search,144,95,15,7,3,185.72
2025-05-07,desktop,Organic Search,203,123,24,12,6,430.74
2025-05-07,mobile,Organic Search,176,117,18,8,4,254.59
2025-05-07,desktop,Direct,95,64,11,6,3,185.56
2025-05-07,mobile,Direct,89,55,9,4,1,66.05
2025-05-07,desktop,Paid Social,108,68,11,5,3,179.7
2025-05-07,mobile,Paid Social,77,47,7,3,1,64.89
2025-05-07,desktop,Email,59,39,7,4,2,133.88
2025-05-07,mobile,Email,40,25,3,1,0,0.0
2025-05-08,desktop,Paid Search,162,100,19,10,5,351.86
2025-05-08,mobile,Paid Search,135,87,13,6,3,196.04
2025-05-08,desktop,Organic Search,191,125,22,11,6,357.1
2025-05-08,mobile,Organic Search,163,100,15,7,3,191.12
2025-05-08,desktop,Direct,97,59,10,5,2,133.96
2025-05-08,mobile,Direct,82,53,7,3,1,58.76
2025-05-08,desktop,Paid Social,103,66,12,6,3,218.26
2025-05-08,mobile,Paid Social,86,58,8,3,1,69.07
2025-05-08,desktop,Email,47,32,5,2,1,62.75
2025-05-08,mobile,Email,44,27,4,1,0,0.0
2025-05-09,desktop,Paid Search,156,96,17,9,5,352.66
2025-05-09,mobile,Paid Search,146,94,15,6,3,181.88
2025-05-09,desktop,Organic Search,213,130,25,13,7,495.08
2025-05-09,mobile,Organic Search,157,108,15,6,2,137.87
2025-05-09,desktop,Direct,112,75,14,7,4,290.12
2025-05-09,mobile,Direct,91,59,9,4,2,118.13
2025-05-09,desktop,Paid Social,104,65,11,6,3,206.41
2025-05-09,mobile,Paid Social,88,54,9,4,1,62.86
2025-05-09,desktop,Email,55,37,6,3,1,57.75
2025-05-09,mobile,Email,44,29,4,2,0,0.0
2025-05-10,desktop,Paid Search,125,82,15,8,4,234.7
2025-05-10,mobile,Paid Search,110,66,11,5,2,117.0
2025-05-10,desktop,Organic Search,147,90,16,8,4,230.26
2025-05-10,mobile,Organic Search,107,66,9,4,2,135.93
2025-05-10,desktop,Direct,75,51,9,4,2,125.09
2025-05-10,mobile,Direct,67,46,6,3,1,57.87
2025-05-10,desktop,Paid Social,71,47,8,4,2,133.98
2025-05-10,mobile,Paid Social,62,40,6,3,1,61.36
2025-05-10,desktop,Email,41,26,5,2,1,59.14
2025-05-10,mobile,Email,32,21,3,1,0,0.0
2025-05-11,desktop,Paid Search,127,80,15,7,4,282.31
2025-05-11,mobile,Paid Search,97,67,9,4,2,136.0
2025-05-11,desktop,Organic Search,147,88,16,9,5,296.23
2025-05-11,mobile,Organic Search,125,81,14,6,3,213.15
2025-05-11,desktop,Direct,70,42,8,4,2,120.31
2025-05-11,mobile,Direct,57,38,6,2,1,68.62
2025-05-11,desktop,Paid Social,71,42,9,4,2,143.42
2025-05-11,mobile,Paid Social,59,38,5,2,0,0.0
2025-05-11,desktop,Email,40,25,4,2,1,71.01
2025-05-11,mobile,Email,31,18,2,1,0,0.0
2025-05-12,desktop,Paid Search,183,114,21,11,7,434.31
2025-05-12,mobile,Paid Search,147,91,15,7,3,212.03
2025-05-12,desktop,Organic Search,225,142,27,15,8,511.08
2025-05-12,mobile,Organic Search,174,115,16,8,3,192.35
2025-05-12,desktop,Direct,106,68,12,6,3,193.02
2025-05-12,mobile,Direct,94,64,8,3,1,57.76
2025-05-12,desktop,Paid Social,100,64,11,5,3,204.01
2025-05-12,mobile,Paid Social,87,56,9,4,2,145.04
2025-05-12,desktop,Email,57,38,7,3,1,58.86
2025-05-12,mobile,Email,50,33,5,2,0,0.0
2025-05-13,desktop,Paid Search,179,117,23,11,6,387.96
2025-05-13,mobile,Paid Search,120,73,11,5,2,116.54
2025-05-13,desktop,Organic Search,177,107,19,10,6,422.97
2025-05-13,mobile,Organic Search,142,93,15,6,2,116.44
2025-05-13,desktop,Direct,103,71,12,6,3,207.21
2025-05-13,mobile,Direct,85,52,7,3,1,66.66
2025-05-13,desktop,Paid Social,105,62,11,5,3,216.42
2025-05-13,mobile,Paid Social,71,43,7,3,1,68.86
2025-05-13,desktop,Email,57,37,7,3,1,62.33
2025-05-13,mobile,Email,41,25,4,1,0,0.0
2025-05-14,desktop,Paid Search,153,96,18,10,6,346.79
2025-05-14,mobile,Paid Search,153,99,14,7,3,190.92
2025-05-14,desktop,Organic Search,219,149,27,15,8,490.03
2025-05-14,mobile,Organic Search,163,108,15,6,3,185.24
2025-05-14,desktop,Direct,103,69,13,7,3,202.71
2025-05-14,mobile,Direct,79,50,7,3,1,61.01
2025-05-14,desktop,Paid Social,101,60,12,6,3,212.44
2025-05-14,mobile,Paid Social,72,49,7,3,1,66.83
2025-05-14,desktop,Email,53,35,5,2,1,58.51
2025-05-14,mobile,Email,39,24,4,2,1,71.21
2025-05-15,desktop,Paid Search,155,105,16,8,4,249.06
2025-05-15,mobile,Paid Search,133,82,14,7,3,173.29
2025-05-15,desktop,Organic Search,197,124,24,14,8,551.38
2025-05-15,mobile,Organic Search,157,103,15,7,3,200.3
2025-05-15,desktop,Direct,96,63,11,6,3,203.7
2025-05-15,mobile,Direct,70,44,7,3,1,70.38
2025-05-15,desktop,Paid Social,96,59,12,7,3,191.43
2025-05-15,mobile,Paid Social,83,53,7,3,1,61.1
2025-05-15,desktop,Email,51,30,5,2,1,66.55
2025-05-15,mobile,Email,45,29,4,1,0,0.0
2025-05-16,desktop,Paid Search,164,99,18,10,6,358.78
2025-05-16,mobile,Paid Search,142,91,15,7,3,194.36
2025-05-16,desktop,Organic Search,210,131,25,13,8,554.13
2025-05-16,mobile,Organic Search,169,104,15,7,3,187.45
2025-05-16,desktop,Direct,87,56,9,4,2,132.5
2025-05-16,mobile,Direct,83,52,8,4,2,141.5
2025-05-16,desktop,Paid Social,108,72,12,5,2,138.68
2025-05-16,mobile,Paid Social,78,52,8,4,2,118.25
2025-05-16,desktop,Email,53,33,6,3,1,72.23
2025-05-16,mobile,Email,45,29,4,2,0,0.0
2025-05-17,desktop,Paid Search,129,83,15,8,4,259.38
2025-05-17,mobile,Paid Search,93,60,9,4,2,128.35
2025-05-17,desktop,Organic Search,153,100,20,11,6,373.92
